country,year,pop,continent,lifeExp,gdpPercap
Afghanistan,1952,8425333.0,Asia,28.801,779.4453145
Afghanistan,1957,9240934.0,Asia,30.331999999999997,820.8530296
Afghanistan,1962,10267083.0,Asia,31.997,853.1007099999999
Afghanistan,1967,11537966.0,Asia,34.02,836.1971382
Afghanistan,1972,13079460.0,Asia,36.088,739.9811057999999
Afghanistan,1977,14880372.0,Asia,38.438,786.11336
Afghanistan,1982,12881816.0,Asia,39.854,978.0114388000001
Afghanistan,1987,13867957.0,Asia,40.821999999999996,852.3959447999999
Afghanistan,1992,16317921.0,Asia,41.674,649.3413952000001
Afghanistan,1997,22227415.0,Asia,41.763000000000005,635.341351
Afghanistan,2002,25268405.0,Asia,42.129,726.7340548
Afghanistan,2007,31889923.0,Asia,43.828,974.5803384
Albania,1952,1282697.0,Europe,55.23,1601.056136
Albania,1957,1476505.0,Europe,59.28,1942.2842440000002
Albania,1962,1728137.0,Europe,64.82,2312.888958
Albania,1967,1984060.0,Europe,66.22,2760.196931
Albania,1972,2263554.0,Europe,67.69,3313.422188
Albania,1977,2509048.0,Europe,68.93,3533.0039100000004
Albania,1982,2780097.0,Europe,70.42,3630.880722
Albania,1987,3075321.0,Europe,72.0,3738.9327350000003
Albania,1992,3326498.0,Europe,71.581,2497.4379010000002
Albania,1997,3428038.0,Europe,72.95,3193.054604
Albania,2002,3508512.0,Europe,75.65100000000001,4604.211737
Albania,2007,3600523.0,Europe,76.423,5937.029525999999
Algeria,1952,9279525.0,Africa,43.077,2449.008185
Algeria,1957,10270856.0,Africa,45.685,3013.976023
Algeria,1962,11000948.0,Africa,48.303000000000004,2550.81688
Algeria,1967,12760499.0,Africa,51.407,3246.991771
Algeria,1972,14760787.0,Africa,54.518,4182.663766
Algeria,1977,17152804.0,Africa,58.013999999999996,4910.4167560000005
Algeria,1982,20033753.0,Africa,61.368,5745.160213
Algeria,1987,23254956.0,Africa,65.79899999999999,5681.358539
Algeria,1992,26298373.0,Africa,67.744,5023.216647
Algeria,1997,29072015.0,Africa,69.152,4797.295051
Algeria,2002,31287142.0,Africa,70.994,5288.040382
Algeria,2007,33333216.0,Africa,72.301,6223.367465
Angola,1952,4232095.0,Africa,30.015,3520.610273
Angola,1957,4561361.0,Africa,31.999000000000002,3827.9404649999997
Angola,1962,4826015.0,Africa,34.0,4269.276742
Angola,1967,5247469.0,Africa,35.985,5522.776375
Angola,1972,5894858.0,Africa,37.928000000000004,5473.288004999999
Angola,1977,6162675.0,Africa,39.483000000000004,3008.647355
Angola,1982,7016384.0,Africa,39.942,2756.953672
Angola,1987,7874230.0,Africa,39.906,2430.208311
Angola,1992,8735988.0,Africa,40.647,2627.8456850000002
Angola,1997,9875024.0,Africa,40.963,2277.140884
Angola,2002,10866106.0,Africa,41.003,2773.287312
Angola,2007,12420476.0,Africa,42.731,4797.231267
Argentina,1952,17876956.0,Americas,62.485,5911.315053
Argentina,1957,19610538.0,Americas,64.399,6856.856212000001
Argentina,1962,21283783.0,Americas,65.142,7133.166023000001
Argentina,1967,22934225.0,Americas,65.634,8052.953020999999
Argentina,1972,24779799.0,Americas,67.065,9443.038526
Argentina,1977,26983828.0,Americas,68.48100000000001,10079.026740000001
Argentina,1982,29341374.0,Americas,69.942,8997.897412
Argentina,1987,31620918.0,Americas,70.774,9139.671389
Argentina,1992,33958947.0,Americas,71.868,9308.41871
Argentina,1997,36203463.0,Americas,73.275,10967.28195
Argentina,2002,38331121.0,Americas,74.34,8797.640716
Argentina,2007,40301927.0,Americas,75.32,12779.379640000001
Australia,1952,8691212.0,Oceania,69.12,10039.595640000001
Australia,1957,9712569.0,Oceania,70.33,10949.64959
Australia,1962,10794968.0,Oceania,70.93,12217.226859999999
Australia,1967,11872264.0,Oceania,71.1,14526.12465
Australia,1972,13177000.0,Oceania,71.93,16788.62948
Australia,1977,14074100.0,Oceania,73.49,18334.197509999998
Australia,1982,15184200.0,Oceania,74.74,19477.009280000002
Australia,1987,16257249.0,Oceania,76.32,21888.889030000002
Australia,1992,17481977.0,Oceania,77.56,23424.76683
Australia,1997,18565243.0,Oceania,78.83,26997.936569999998
Australia,2002,19546792.0,Oceania,80.37,30687.75473
Australia,2007,20434176.0,Oceania,81.235,34435.367439999995
Austria,1952,6927772.0,Europe,66.8,6137.076492
Austria,1957,6965860.0,Europe,67.48,8842.59803
Austria,1962,7129864.0,Europe,69.54,10750.721109999999
Austria,1967,7376998.0,Europe,70.14,12834.6024
Austria,1972,7544201.0,Europe,70.63,16661.6256
Austria,1977,7568430.0,Europe,72.17,19749.4223
Austria,1982,7574613.0,Europe,73.18,21597.083619999998
Austria,1987,7578903.0,Europe,74.94,23687.82607
Austria,1992,7914969.0,Europe,76.04,27042.01868
Austria,1997,8069876.0,Europe,77.51,29095.920660000003
Austria,2002,8148312.0,Europe,78.98,32417.607689999997
Austria,2007,8199783.0,Europe,79.829,36126.4927
Bahrain,1952,120447.0,Asia,50.93899999999999,9867.084765000001
Bahrain,1957,138655.0,Asia,53.832,11635.79945
Bahrain,1962,171863.0,Asia,56.923,12753.27514
Bahrain,1967,202182.0,Asia,59.923,14804.6727
Bahrain,1972,230800.0,Asia,63.3,18268.65839
Bahrain,1977,297410.0,Asia,65.593,19340.10196
Bahrain,1982,377967.0,Asia,69.05199999999999,19211.14731
Bahrain,1987,454612.0,Asia,70.75,18524.02406
Bahrain,1992,529491.0,Asia,72.601,19035.579169999997
Bahrain,1997,598561.0,Asia,73.925,20292.01679
Bahrain,2002,656397.0,Asia,74.795,23403.559269999998
Bahrain,2007,708573.0,Asia,75.635,29796.048339999998
Bangladesh,1952,46886859.0,Asia,37.484,684.2441716
Bangladesh,1957,51365468.0,Asia,39.348,661.6374577
Bangladesh,1962,56839289.0,Asia,41.216,686.3415537999999
Bangladesh,1967,62821884.0,Asia,43.453,721.1860862000001
Bangladesh,1972,70759295.0,Asia,45.251999999999995,630.2336265
Bangladesh,1977,80428306.0,Asia,46.923,659.8772322000001
Bangladesh,1982,93074406.0,Asia,50.00899999999999,676.9818656
Bangladesh,1987,103764241.0,Asia,52.818999999999996,751.9794035
Bangladesh,1992,113704579.0,Asia,56.018,837.8101642999999
Bangladesh,1997,123315288.0,Asia,59.412,972.7700352
Bangladesh,2002,135656790.0,Asia,62.013000000000005,1136.3904300000002
Bangladesh,2007,150448339.0,Asia,64.062,1391.253792
Belgium,1952,8730405.0,Europe,68.0,8343.105126999999
Belgium,1957,8989111.0,Europe,69.24,9714.960623
Belgium,1962,9218400.0,Europe,70.25,10991.20676
Belgium,1967,9556500.0,Europe,70.94,13149.04119
Belgium,1972,9709100.0,Europe,71.44,16672.14356
Belgium,1977,9821800.0,Europe,72.8,19117.97448
Belgium,1982,9856303.0,Europe,73.93,20979.84589
Belgium,1987,9870200.0,Europe,75.35,22525.56308
Belgium,1992,10045622.0,Europe,76.46,25575.57069
Belgium,1997,10199787.0,Europe,77.53,27561.196630000002
Belgium,2002,10311970.0,Europe,78.32,30485.88375
Belgium,2007,10392226.0,Europe,79.441,33692.60508
Benin,1952,1738315.0,Africa,38.223,1062.7522
Benin,1957,1925173.0,Africa,40.358000000000004,959.6010805
Benin,1962,2151895.0,Africa,42.618,949.4990641
Benin,1967,2427334.0,Africa,44.885,1035.831411
Benin,1972,2761407.0,Africa,47.013999999999996,1085.796879
Benin,1977,3168267.0,Africa,49.19,1029.161251
Benin,1982,3641603.0,Africa,50.903999999999996,1277.897616
Benin,1987,4243788.0,Africa,52.336999999999996,1225.85601
Benin,1992,4981671.0,Africa,53.919,1191.207681
Benin,1997,6066080.0,Africa,54.777,1232.975292
Benin,2002,7026113.0,Africa,54.406000000000006,1372.877931
Benin,2007,8078314.0,Africa,56.728,1441.284873
Bolivia,1952,2883315.0,Americas,40.414,2677.3263469999997
Bolivia,1957,3211738.0,Americas,41.89,2127.686326
Bolivia,1962,3593918.0,Americas,43.428000000000004,2180.972546
Bolivia,1967,4040665.0,Americas,45.032,2586.886053
Bolivia,1972,4565872.0,Americas,46.714,2980.331339
Bolivia,1977,5079716.0,Americas,50.023,3548.097832
Bolivia,1982,5642224.0,Americas,53.858999999999995,3156.510452
Bolivia,1987,6156369.0,Americas,57.251000000000005,2753.6914899999997
Bolivia,1992,6893451.0,Americas,59.957,2961.699694
Bolivia,1997,7693188.0,Americas,62.05,3326.143191
Bolivia,2002,8445134.0,Americas,63.883,3413.26269
Bolivia,2007,9119152.0,Americas,65.554,3822.1370840000004
Bosnia and Herzegovina,1952,2791000.0,Europe,53.82,973.5331947999999
Bosnia and Herzegovina,1957,3076000.0,Europe,58.45,1353.989176
Bosnia and Herzegovina,1962,3349000.0,Europe,61.93,1709.683679
Bosnia and Herzegovina,1967,3585000.0,Europe,64.79,2172.3524230000003
Bosnia and Herzegovina,1972,3819000.0,Europe,67.45,2860.16975
Bosnia and Herzegovina,1977,4086000.0,Europe,69.86,3528.481305
Bosnia and Herzegovina,1982,4172693.0,Europe,70.69,4126.613157
Bosnia and Herzegovina,1987,4338977.0,Europe,71.14,4314.114757
Bosnia and Herzegovina,1992,4256013.0,Europe,72.178,2546.781445
Bosnia and Herzegovina,1997,3607000.0,Europe,73.244,4766.355904
Bosnia and Herzegovina,2002,4165416.0,Europe,74.09,6018.975239
Bosnia and Herzegovina,2007,4552198.0,Europe,74.852,7446.298803
Botswana,1952,442308.0,Africa,47.622,851.2411407
Botswana,1957,474639.0,Africa,49.618,918.2325348999999
Botswana,1962,512764.0,Africa,51.52,983.6539764
Botswana,1967,553541.0,Africa,53.298,1214.709294
Botswana,1972,619351.0,Africa,56.023999999999994,2263.6111140000003
Botswana,1977,781472.0,Africa,59.318999999999996,3214.857818
Botswana,1982,970347.0,Africa,61.483999999999995,4551.14215
Botswana,1987,1151184.0,Africa,63.622,6205.88385
Botswana,1992,1342614.0,Africa,62.745,7954.111645
Botswana,1997,1536536.0,Africa,52.556000000000004,8647.142313
Botswana,2002,1630347.0,Africa,46.63399999999999,11003.60508
Botswana,2007,1639131.0,Africa,50.728,12569.851770000001
Brazil,1952,56602560.0,Americas,50.917,2108.944355
Brazil,1957,65551171.0,Americas,53.285,2487.365989
Brazil,1962,76039390.0,Americas,55.665,3336.585802
Brazil,1967,88049823.0,Americas,57.632,3429.864357
Brazil,1972,100840058.0,Americas,59.504,4985.711467
Brazil,1977,114313951.0,Americas,61.489,6660.118654
Brazil,1982,128962939.0,Americas,63.336000000000006,7030.835878
Brazil,1987,142938076.0,Americas,65.205,7807.095818000001
Brazil,1992,155975974.0,Americas,67.057,6950.283020999999
Brazil,1997,168546719.0,Americas,69.388,7957.980823999999
Brazil,2002,179914212.0,Americas,71.006,8131.212843000001
Brazil,2007,190010647.0,Americas,72.39,9065.800825
Bulgaria,1952,7274900.0,Europe,59.6,2444.2866480000002
Bulgaria,1957,7651254.0,Europe,66.61,3008.670727
Bulgaria,1962,8012946.0,Europe,69.51,4254.337839
Bulgaria,1967,8310226.0,Europe,70.42,5577.0028
Bulgaria,1972,8576200.0,Europe,70.9,6597.494398
Bulgaria,1977,8797022.0,Europe,70.81,7612.240438
Bulgaria,1982,8892098.0,Europe,71.08,8224.191647
Bulgaria,1987,8971958.0,Europe,71.34,8239.854824
Bulgaria,1992,8658506.0,Europe,71.19,6302.6234380000005
Bulgaria,1997,8066057.0,Europe,70.32,5970.38876
Bulgaria,2002,7661799.0,Europe,72.14,7696.777725
Bulgaria,2007,7322858.0,Europe,73.005,10680.79282
Burkina Faso,1952,4469979.0,Africa,31.975,543.2552413
Burkina Faso,1957,4713416.0,Africa,34.906,617.1834647999999
Burkina Faso,1962,4919632.0,Africa,37.814,722.5120206
Burkina Faso,1967,5127935.0,Africa,40.696999999999996,794.8265597
Burkina Faso,1972,5433886.0,Africa,43.591,854.7359763000001
Burkina Faso,1977,5889574.0,Africa,46.137,743.3870368
Burkina Faso,1982,6634596.0,Africa,48.122,807.1985855
Burkina Faso,1987,7586551.0,Africa,49.556999999999995,912.0631417000001
Burkina Faso,1992,8878303.0,Africa,50.26,931.7527731
Burkina Faso,1997,10352843.0,Africa,50.324,946.2949617999999
Burkina Faso,2002,12251209.0,Africa,50.65,1037.645221
Burkina Faso,2007,14326203.0,Africa,52.295,1217.032994
Burundi,1952,2445618.0,Africa,39.031,339.29645869999996
Burundi,1957,2667518.0,Africa,40.533,379.56462810000005
Burundi,1962,2961915.0,Africa,42.045,355.2032273
Burundi,1967,3330989.0,Africa,43.548,412.97751360000007
Burundi,1972,3529983.0,Africa,44.056999999999995,464.0995039
Burundi,1977,3834415.0,Africa,45.91,556.1032651
Burundi,1982,4580410.0,Africa,47.471000000000004,559.6032309999999
Burundi,1987,5126023.0,Africa,48.211000000000006,621.8188188999999
Burundi,1992,5809236.0,Africa,44.736000000000004,631.6998778
Burundi,1997,6121610.0,Africa,45.326,463.1151478
Burundi,2002,7021078.0,Africa,47.36,446.4035126
Burundi,2007,8390505.0,Africa,49.58,430.07069160000003
Cambodia,1952,4693836.0,Asia,39.417,368.46928560000003
Cambodia,1957,5322536.0,Asia,41.36600000000001,434.0383364
Cambodia,1962,6083619.0,Asia,43.415,496.9136476
Cambodia,1967,6960067.0,Asia,45.415,523.4323142
Cambodia,1972,7450606.0,Asia,40.317,421.6240257
Cambodia,1977,6978607.0,Asia,31.22,524.9721831999999
Cambodia,1982,7272485.0,Asia,50.957,624.4754784
Cambodia,1987,8371791.0,Asia,53.913999999999994,683.8955732000001
Cambodia,1992,10150094.0,Asia,55.803000000000004,682.3031755
Cambodia,1997,11782962.0,Asia,56.534,734.28517
Cambodia,2002,12926707.0,Asia,56.751999999999995,896.2260152999999
Cambodia,2007,14131858.0,Asia,59.723,1713.7786859999999
Cameroon,1952,5009067.0,Africa,38.523,1172.667655
Cameroon,1957,5359923.0,Africa,40.428000000000004,1313.048099
Cameroon,1962,5793633.0,Africa,42.643,1399.607441
Cameroon,1967,6335506.0,Africa,44.799,1508.453148
Cameroon,1972,7021028.0,Africa,47.049,1684.1465280000002
Cameroon,1977,7959865.0,Africa,49.355,1783.432873
Cameroon,1982,9250831.0,Africa,52.961000000000006,2367.983282
Cameroon,1987,10780667.0,Africa,54.985,2602.664206
Cameroon,1992,12467171.0,Africa,54.31399999999999,1793.1632780000002
Cameroon,1997,14195809.0,Africa,52.199,1694.337469
Cameroon,2002,15929988.0,Africa,49.856,1934.0114489999999
Cameroon,2007,17696293.0,Africa,50.43,2042.0952399999999
Canada,1952,14785584.0,Americas,68.75,11367.16112
Canada,1957,17010154.0,Americas,69.96,12489.95006
Canada,1962,18985849.0,Americas,71.3,13462.48555
Canada,1967,20819767.0,Americas,72.13,16076.58803
Canada,1972,22284500.0,Americas,72.88,18970.57086
Canada,1977,23796400.0,Americas,74.21,22090.88306
Canada,1982,25201900.0,Americas,75.76,22898.79214
Canada,1987,26549700.0,Americas,76.86,26626.515030000002
Canada,1992,28523502.0,Americas,77.95,26342.88426
Canada,1997,30305843.0,Americas,78.61,28954.92589
Canada,2002,31902268.0,Americas,79.77,33328.96507
Canada,2007,33390141.0,Americas,80.653,36319.235010000004
Central African Republic,1952,1291695.0,Africa,35.463,1071.310713
Central African Republic,1957,1392284.0,Africa,37.464,1190.844328
Central African Republic,1962,1523478.0,Africa,39.475,1193.068753
Central African Republic,1967,1733638.0,Africa,41.478,1136.056615
Central African Republic,1972,1927260.0,Africa,43.457,1070.013275
Central African Republic,1977,2167533.0,Africa,46.775,1109.374338
Central African Republic,1982,2476971.0,Africa,48.295,956.7529906999999
Central African Republic,1987,2840009.0,Africa,50.485,844.8763504000001
Central African Republic,1992,3265124.0,Africa,49.396,747.9055252
Central African Republic,1997,3696513.0,Africa,46.066,740.5063317
Central African Republic,2002,4048013.0,Africa,43.308,738.6906068
Central African Republic,2007,4369038.0,Africa,44.74100000000001,706.016537
Chad,1952,2682462.0,Africa,38.092,1178.665927
Chad,1957,2894855.0,Africa,39.881,1308.495577
Chad,1962,3150417.0,Africa,41.716,1389.817618
Chad,1967,3495967.0,Africa,43.601000000000006,1196.810565
Chad,1972,3899068.0,Africa,45.568999999999996,1104.103987
Chad,1977,4388260.0,Africa,47.383,1133.98495
Chad,1982,4875118.0,Africa,49.516999999999996,797.9081006
Chad,1987,5498955.0,Africa,51.051,952.3861289999999
Chad,1992,6429417.0,Africa,51.724,1058.0643
Chad,1997,7562011.0,Africa,51.573,1004.9613529999999
Chad,2002,8835739.0,Africa,50.525,1156.18186
Chad,2007,10238807.0,Africa,50.651,1704.0637239999999
Chile,1952,6377619.0,Americas,54.745,3939.9787890000002
Chile,1957,7048426.0,Americas,56.074,4315.6227229999995
Chile,1962,7961258.0,Americas,57.924,4519.094331
Chile,1967,8858908.0,Americas,60.523,5106.654313
Chile,1972,9717524.0,Americas,63.441,5494.024437
Chile,1977,10599793.0,Americas,67.05199999999999,4756.763836
Chile,1982,11487112.0,Americas,70.565,5095.665738000001
Chile,1987,12463354.0,Americas,72.492,5547.063754
Chile,1992,13572994.0,Americas,74.126,7596.125964
Chile,1997,14599929.0,Americas,75.816,10118.053179999999
Chile,2002,15497046.0,Americas,77.86,10778.78385
Chile,2007,16284741.0,Americas,78.553,13171.63885
China,1952,556263527.9999889,Asia,44.0,400.448610699994
China,1957,637408000.0,Asia,50.54896,575.9870009
China,1962,665770000.0,Asia,44.50136,487.6740183
China,1967,754550000.0,Asia,58.381119999999996,612.7056934
China,1972,862030000.0,Asia,63.118880000000004,676.9000921
China,1977,943455000.0,Asia,63.96736,741.2374699
China,1982,1000281000.0,Asia,65.525,962.4213804999999
China,1987,1084035000.0,Asia,67.274,1378.904018
China,1992,1164970000.0,Asia,68.69,1655.784158
China,1997,1230075000.0,Asia,70.426,2289.234136
China,2002,1280400000.0,Asia,72.028,3119.280896
China,2007,1318683096.0,Asia,72.961,4959.1148539999995
Colombia,1952,12350771.0,Americas,50.643,2144.115096
Colombia,1957,14485993.0,Americas,55.118,2323.805581
Colombia,1962,17009885.0,Americas,57.863,2492.351109
Colombia,1967,19764027.0,Americas,59.963,2678.729839
Colombia,1972,22542890.0,Americas,61.623000000000005,3264.660041
Colombia,1977,25094412.0,Americas,63.836999999999996,3815.80787
Colombia,1982,27764644.0,Americas,66.653,4397.575659
Colombia,1987,30964245.0,Americas,67.768,4903.2191
Colombia,1992,34202721.0,Americas,68.421,5444.648617
Colombia,1997,37657830.0,Americas,70.313,6117.3617460000005
Colombia,2002,41008227.0,Americas,71.682,5755.259962
Colombia,2007,44227550.0,Americas,72.889,7006.580419
Comoros,1952,153936.0,Africa,40.715,1102.990936
Comoros,1957,170928.0,Africa,42.46,1211.1485480000001
Comoros,1962,191689.0,Africa,44.467,1406.648278
Comoros,1967,217378.0,Africa,46.472,1876.029643
Comoros,1972,250027.0,Africa,48.943999999999996,1937.577675
Comoros,1977,304739.0,Africa,50.93899999999999,1172.603047
Comoros,1982,348643.0,Africa,52.933,1267.100083
Comoros,1987,395114.0,Africa,54.926,1315.980812
Comoros,1992,454429.0,Africa,57.93899999999999,1246.90737
Comoros,1997,527982.0,Africa,60.66,1173.618235
Comoros,2002,614382.0,Africa,62.974,1075.811558
Comoros,2007,710960.0,Africa,65.152,986.1478792000001
Congo Dem. Rep.,1952,14100005.0,Africa,39.143,780.5423257
Congo Dem. Rep.,1957,15577932.0,Africa,40.652,905.8602302999999
Congo Dem. Rep.,1962,17486434.0,Africa,42.122,896.3146335000001
Congo Dem. Rep.,1967,19941073.0,Africa,44.056000000000004,861.5932424
Congo Dem. Rep.,1972,23007669.0,Africa,45.989,904.8960685000001
Congo Dem. Rep.,1977,26480870.0,Africa,47.803999999999995,795.757282
Congo Dem. Rep.,1982,30646495.0,Africa,47.784,673.7478181
Congo Dem. Rep.,1987,35481645.0,Africa,47.412,672.774812
Congo Dem. Rep.,1992,41672143.0,Africa,45.548,457.7191807
Congo Dem. Rep.,1997,47798986.0,Africa,42.586999999999996,312.188423
Congo Dem. Rep.,2002,55379852.0,Africa,44.966,241.16587650000002
Congo Dem. Rep.,2007,64606759.0,Africa,46.461999999999996,277.55185869999997
Congo Rep.,1952,854885.0,Africa,42.111000000000004,2125.621418
Congo Rep.,1957,940458.0,Africa,45.053000000000004,2315.056572
Congo Rep.,1962,1047924.0,Africa,48.435,2464.783157
Congo Rep.,1967,1179760.0,Africa,52.04,2677.9396420000003
Congo Rep.,1972,1340458.0,Africa,54.907,3213.152683
Congo Rep.,1977,1536769.0,Africa,55.625,3259.178978
Congo Rep.,1982,1774735.0,Africa,56.695,4879.507522
Congo Rep.,1987,2064095.0,Africa,57.47,4201.194936999999
Congo Rep.,1992,2409073.0,Africa,56.433,4016.239529
Congo Rep.,1997,2800947.0,Africa,52.961999999999996,3484.1643759999997
Congo Rep.,2002,3328795.0,Africa,52.97,3484.06197
Congo Rep.,2007,3800610.0,Africa,55.321999999999996,3632.557798
Costa Rica,1952,926317.0,Americas,57.206,2627.0094710000003
Costa Rica,1957,1112300.0,Americas,60.026,2990.010802
Costa Rica,1962,1345187.0,Americas,62.842,3460.937025
Costa Rica,1967,1588717.0,Americas,65.42399999999999,4161.727834
Costa Rica,1972,1834796.0,Americas,67.84899999999999,5118.146939
Costa Rica,1977,2108457.0,Americas,70.75,5926.876967
Costa Rica,1982,2424367.0,Americas,73.45,5262.734751
Costa Rica,1987,2799811.0,Americas,74.752,5629.915318
Costa Rica,1992,3173216.0,Americas,75.71300000000001,6160.416317
Costa Rica,1997,3518107.0,Americas,77.26,6677.045314
Costa Rica,2002,3834934.0,Americas,78.123,7723.447195000001
Costa Rica,2007,4133884.0,Americas,78.782,9645.06142
Cote d'Ivoire,1952,2977019.0,Africa,40.477,1388.594732
Cote d'Ivoire,1957,3300000.0,Africa,42.468999999999994,1500.895925
Cote d'Ivoire,1962,3832408.0,Africa,44.93,1728.8694280000002
Cote d'Ivoire,1967,4744870.0,Africa,47.35,2052.0504730000002
Cote d'Ivoire,1972,6071696.0,Africa,49.801,2378.201111
Cote d'Ivoire,1977,7459574.0,Africa,52.373999999999995,2517.736547
Cote d'Ivoire,1982,9025951.0,Africa,53.983000000000004,2602.710169
Cote d'Ivoire,1987,10761098.0,Africa,54.655,2156.9560690000003
Cote d'Ivoire,1992,12772596.0,Africa,52.044,1648.073791
Cote d'Ivoire,1997,14625967.0,Africa,47.99100000000001,1786.265407
Cote d'Ivoire,2002,16252726.0,Africa,46.832,1648.800823
Cote d'Ivoire,2007,18013409.0,Africa,48.328,1544.750112
Croatia,1952,3882229.0,Europe,61.21,3119.23652
Croatia,1957,3991242.0,Europe,64.77,4338.231617
Croatia,1962,4076557.0,Europe,67.13,5477.890018
Croatia,1967,4174366.0,Europe,68.5,6960.297861
Croatia,1972,4225310.0,Europe,69.61,9164.090127
Croatia,1977,4318673.0,Europe,70.64,11305.38517
Croatia,1982,4413368.0,Europe,70.46,13221.82184
Croatia,1987,4484310.0,Europe,71.52,13822.58394
Croatia,1992,4494013.0,Europe,72.527,8447.794873
Croatia,1997,4444595.0,Europe,73.68,9875.604515
Croatia,2002,4481020.0,Europe,74.876,11628.38895
Croatia,2007,4493312.0,Europe,75.748,14619.222719999998
Cuba,1952,6007797.0,Americas,59.42100000000001,5586.53878
Cuba,1957,6640752.0,Americas,62.325,6092.174359000001
Cuba,1962,7254373.0,Americas,65.24600000000001,5180.75591
Cuba,1967,8139332.0,Americas,68.29,5690.268015
Cuba,1972,8831348.0,Americas,70.723,5305.445256
Cuba,1977,9537988.0,Americas,72.649,6380.494965999999
Cuba,1982,9789224.0,Americas,73.717,7316.9181069999995
Cuba,1987,10239839.0,Americas,74.17399999999999,7532.924762999999
Cuba,1992,10723260.0,Americas,74.414,5592.843963
Cuba,1997,10983007.0,Americas,76.15100000000001,5431.990415
Cuba,2002,11226999.0,Americas,77.158,6340.646683
Cuba,2007,11416987.0,Americas,78.273,8948.102923
Czech Republic,1952,9125183.0,Europe,66.87,6876.14025
Czech Republic,1957,9513758.0,Europe,69.03,8256.343918
Czech Republic,1962,9620282.0,Europe,69.9,10136.86713
Czech Republic,1967,9835109.0,Europe,70.38,11399.44489
Czech Republic,1972,9862158.0,Europe,70.29,13108.4536
Czech Republic,1977,10161915.0,Europe,70.71,14800.160619999999
Czech Republic,1982,10303704.0,Europe,70.96,15377.22855
Czech Republic,1987,10311597.0,Europe,71.58,16310.4434
Czech Republic,1992,10315702.0,Europe,72.4,14297.021219999999
Czech Republic,1997,10300707.0,Europe,74.01,16048.51424
Czech Republic,2002,10256295.0,Europe,75.51,17596.210219999997
Czech Republic,2007,10228744.0,Europe,76.486,22833.30851
Denmark,1952,4334000.0,Europe,70.78,9692.385245
Denmark,1957,4487831.0,Europe,71.81,11099.65935
Denmark,1962,4646899.0,Europe,72.35,13583.31351
Denmark,1967,4838800.0,Europe,72.96,15937.21123
Denmark,1972,4991596.0,Europe,73.47,18866.20721
Denmark,1977,5088419.0,Europe,74.69,20422.9015
Denmark,1982,5117810.0,Europe,74.63,21688.04048
Denmark,1987,5127024.0,Europe,74.8,25116.17581
Denmark,1992,5171393.0,Europe,75.33,26406.73985
Denmark,1997,5283663.0,Europe,76.11,29804.34567
Denmark,2002,5374693.0,Europe,77.18,32166.500060000002
